Sport;ns1:Id;StartTime;ns1:TotalTimeSeconds;ns1:DistanceMeters;ns1:MaximumSpeed;ns1:Calories;ns1:Value;ns1:Value2;ns1:Intensity;ns1:TriggerMethod;ns1:Time;Latitude;Longitude;Altitude;ns1:DistanceMeters3;ns1:Value4;ns2:Speed;ns2:AvgSpeed;ns1:Name;ns1:UnitId;ns1:ProductID;ns1:VersionMajor;ns1:VersionMinor;ns1:BuildMajor;ns1:BuildMinor;ns1:Name5;ns1:VersionMajor6;ns1:VersionMinor7;ns1:BuildMajor8;ns1:BuildMinor9;ns1:LangID;ns1:PartNumber
Biking;2021-11-09T05:09:15.000Z;2021-11-09T05:09:15.000Z;4333.048;34368.78;14.43500042;1107;145;167;Active;Manual;2021-11-09T05:09:15.000Z;47.40250482;8.555011684;462.7999878;0.050000001;88;0;7.93200016;Edge 530;3340614792;3121;8;20;0;0;Connect Api;0;0;0;0;en;006-D2449-00
Biking;2021-11-09T05:09:15.000Z;2021-11-09T05:09:15.000Z;4333.048;34368.78;14.43500042;1107;145;167;Active;Manual;2021-11-09T05:09:16.000Z;47.40250499;8.555007242;468.6000061;0.050000001;87;0;7.93200016;Edge 530;3340614792;3121;8;20;0;0;Connect Api;0;0;0;0;en;006-D2449-00
Biking;2021-11-09T05:09:15.000Z;2021-11-09T05:09:15.000Z;4333.048;34368.78;14.43500042;1107;145;167;Active;Manual;2021-11-09T05:09:23.000Z;47.40252645;8.555003973;468.7999878;0.050000001;87;1.473999977;7.93200016;Edge 530;3340614792;3121;8;20;0;0;Connect Api;0;0;0;0;en;006-D2449-00
Biking;2021-11-09T05:09:15.000Z;2021-11-09T05:09:15.000Z;4333.048;34368.78;14.43500042;1107;145;167;Active;Manual;2021-11-09T05:09:25.000Z;47.40256727;8.555009672;468.2000122;4.489999771;87;2.322999954;7.93200016;Edge 530;3340614792;3121;8;20;0;0;Connect Api;0;0;0;0;en;006-D2449-00
Biking;2021-11-09T05:09:15.000Z;2021-11-09T05:09:15.000Z;4333.048;34368.78;14.43500042;1107;145;167;Active;Manual;2021-11-09T05:09:27.000Z;47.40263089;8.555120481;468.2000122;15.14999962;88;4.227000237;7.93200016;Edge 530;3340614792;3121;8;20;0;0;Connect Api;0;0;0;0;en;006-D2449-00
Biking;2021-11-09T05:09:15.000Z;2021-11-09T05:09:15.000Z;4333.048;34368.78;14.43500042;1107;145;167;Active;Manual;2021-11-09T05:09:28.000Z;47.40265;8.555187453;468.3999939;20.62999916;89;4.880000114;7.93200016;Edge 530;3340614792;3121;8;20;0;0;Connect Api;0;0;0;0;en;006-D2449-00
Biking;2021-11-09T05:09:15.000Z;2021-11-09T05:09:15.000Z;4333.048;34368.78;14.43500042;1107;145;167;Active;Manual;2021-11-09T05:09:30.000Z;47.40269241;8.555336986;468.3999939;32.81000137;90;5.644999981;7.93200016;Edge 530;3340614792;3121;8;20;0;0;Connect Api;0;0;0;0;en;006-D2449-00
Biking;2021-11-09T05:09:15.000Z;2021-11-09T05:09:15.000Z;4333.048;34368.78;14.43500042;1107;145;167;Active;Manual;2021-11-09T05:09:31.000Z;47.40271051;8.555411668;468;38.79000092;91;5.934000015;7.93200016;Edge 530;3340614792;3121;8;20;0;0;Connect Api;0;0;0;0;en;006-D2449-00
Biking;2021-11-09T05:09:15.000Z;2021-11-09T05:09:15.000Z;4333.048;34368.78;14.43500042;1107;145;167;Active;Manual;2021-11-09T05:09:33.000Z;47.40274983;8.555560699;467.6000061;50.86000061;92;5.532999992;7.93200016;Edge 530;3340614792;3121;8;20;0;0;Connect Api;0;0;0;0;en;006-D2449-00
Biking;2021-11-09T05:09:15.000Z;2021-11-09T05:09:15.000Z;4333.048;34368.78;14.43500042;1107;145;167;Active;Manual;2021-11-09T05:09:34.000Z;47.40274983;8.555560699;467.6000061;50.86000061;90;5.532999992;7.93200016;Edge 530;3340614792;3121;8;20;0;0;Connect Api;0;0;0;0;en;006-D2449-00
